Tiêu đề,Nguyên liệu,Sơ chế,Thực hiện,Cách dùng,Mách nhỏ,Thực đơn,Lời khuyên,Tên món ăn,Carbohydrate,Calories,Protein,Sugar,Fiber dietary,Vitamin C,Vitamin D,Vitamin B12,Calcium,Iron,Cholesterol,Phosphorous,Folic acid,Saturated fat,Potassium,Sodium,Tiêu đề_lower,Nguyên liệu_lower,Sơ chế_lower,Thực hiện_lower,Cách dùng_lower,Mách nhỏ_lower,Thực đơn_lower,Tên món ăn_lower
Dê xào tía tô cà bát,"Thịt đùi dê 		 400g, Cà bát 		 2 quả, Ớt sừng		 1 quả, Hành tím lột vỏ		 4 củ, Gừng băm		 1m, Tỏi băm		1M, Nước cốt dừa 		1/2 chén, Bột năng		1m, Bột xù		2M, RAU NÊM: 10 lá tía tô, 10 lá lốt, ĂN KÈM: Cơm trắng, Gia vị: Dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Gia vị nêm sẵn Aji-Quick® Lẩu Thái, Thịt đùi dê 		 400g, Cà bát 		 2 quả, Ớt sừng		 1 quả, Hành tím lột vỏ		 4 củ, Gừng băm		 1m, Tỏi băm		1M, Nước cốt dừa 		1/2 chén, Bột năng		1m, Bột xù		2M, RAU NÊM: 10 lá tía tô, 10 lá lốt, ĂN KÈM: Cơm trắng, Gia vị: Dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Gia vị nêm sẵn Aji-Quick® Lẩu Thái",,,Món ăn ngon đi kèm:Gỏi bốn mùa,Ướp thịt dê với ít bột năng để thịt không khô sau khi xào.Ngâm nước muối cà bát để cà trắng và có vị.Nướng lửa trên để nước thịt thấm xuống miếng cà và mặt trên vàng đẹp mắt.,,,Dê xào tía tô cà bát,11.25,212.5,13.75,2.5,1.25,3.75,0.0,0.5,12.5,1.25,37.5,100.0,7.5,7.5,150.0,200.0,dê xào tía tô cà bát,"thịt đùi dê 		 400g, cà bát 		 2 quả, ớt sừng		 1 quả, hành tím lột vỏ		 4 củ, gừng băm		 1m, tỏi băm		1m, nước cốt dừa 		1/2 chén, bột năng		1m, bột xù		2m, rau nêm: 10 lá tía tô, 10 lá lốt, ăn kèm: cơm trắng, gia vị: dầu ăn, xốt mayonnaise aji-mayo® vị nguyên bản, gia vị nêm sẵn aji-quick® lẩu thái, thịt đùi dê 		 400g, cà bát 		 2 quả, ớt sừng		 1 quả, hành tím lột vỏ		 4 củ, gừng băm		 1m, tỏi băm		1m, nước cốt dừa 		1/2 chén, bột năng		1m, bột xù		2m, rau nêm: 10 lá tía tô, 10 lá lốt, ăn kèm: cơm trắng, gia vị: dầu ăn, xốt mayonnaise aji-mayo® vị nguyên bản, gia vị nêm sẵn aji-quick® lẩu thái",nan,nan,món ăn ngon đi kèm:gỏi bốn mùa,ướp thịt dê với ít bột năng để thịt không khô sau khi xào.ngâm nước muối cà bát để cà trắng và có vị.nướng lửa trên để nước thịt thấm xuống miếng cà và mặt trên vàng đẹp mắt.,nan,dê xào tía tô cà bát
Bánh bí đỏ tôm thịt,"Bí đỏ gọt sạch vỏ    150g, Tôm sú lột vỏ, đập dập, băm sơ 50g, Thịt nạc dăm băm   50g, Củ sắn cắt sợi nhỏ, vắt ráo nước  50g, Nấm mèo ngâm nở cắt nhỏ   1M, Lòng trắng trứng    1M, Hành tím băm, hành ngò cắt nhỏ, ớt băm, tiêu sọ giã bể, Đường, bột nếp, dầu mè, dầu ăn., Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ"", Bí đỏ gọt sạch vỏ    150g, Tôm sú lột vỏ, đập dập, băm sơ 50g, Thịt nạc dăm băm   50g, Củ sắn cắt sợi nhỏ, vắt ráo nước  50g, Nấm mèo ngâm nở cắt nhỏ   1M, Lòng trắng trứng    1M, Hành tím băm, hành ngò cắt nhỏ, ớt băm, tiêu sọ giã bể, Đường, bột nếp, dầu mè, dầu ăn., Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ""","Làm nhân: Trộn chung thịt, tôm, 1m hành tím băm, 1m hành ngò cắt nhỏ, củ sắn, nấm mèo, nêm 1/3m hạt nêm Aji-ngon®, 1/2m nước tương “Phú Sĩ”, thêm 1/2m dầu mè, 1/3m tiêu sọ giã bể, trộn đều. Thêm vào 1M bột nếp, 1M lòng trắng trứng, quết cho dai, rồi chia nhân thành 8 phần, vo tròn, ấn hơi dẹp, làm chín trong lò vi sóng.","Bí đỏ cắt miếng dày khoảng 1cm, cho vào tô, thêm 1/3m hạt nêm Aji-ngon®, 1M nước, bọc màng thực phẩm lại, cho vào lò vi sóng nấu 5 phút, đến khi chín. Lấy ra, dùng nĩa tán nhuyễn khi bí còn nóng. Thêm từ từ bột nếp và 1M dầu ăn vào, nhồi cho hỗn hợp ráo và mịn.","Trình bày: Thêm cuống và lá cho bí bằng đinh hương, rau thơm. Ăn kèm nước chấm pha.",Làm chín bí bằng lò vi sóng thuận tiện và nhanh chóng hơn là hấp bí.Đặt bánh có khoảng cách để sau khi hấp bánh sẽ không bị dính vào nhau.,,,Bánh bí đỏ tôm thịt,5.0,50.0,4.5,1.25,0.75,1.25,0.0,0.125,7.5,0.375,20.0,37.5,2.5,0.5,75.0,87.5,bánh bí đỏ tôm thịt,"bí đỏ gọt sạch vỏ    150g, tôm sú lột vỏ, đập dập, băm sơ 50g, thịt nạc dăm băm   50g, củ sắn cắt sợi nhỏ, vắt ráo nước  50g, nấm mèo ngâm nở cắt nhỏ   1m, lòng trắng trứng    1m, hành tím băm, hành ngò cắt nhỏ, ớt băm, tiêu sọ giã bể, đường, bột nếp, dầu mè, dầu ăn., hạt nêm aji-ngon® heo, nước tương ""phú sĩ"", bí đỏ gọt sạch vỏ    150g, tôm sú lột vỏ, đập dập, băm sơ 50g, thịt nạc dăm băm   50g, củ sắn cắt sợi nhỏ, vắt ráo nước  50g, nấm mèo ngâm nở cắt nhỏ   1m, lòng trắng trứng    1m, hành tím băm, hành ngò cắt nhỏ, ớt băm, tiêu sọ giã bể, đường, bột nếp, dầu mè, dầu ăn., hạt nêm aji-ngon® heo, nước tương ""phú sĩ""","làm nhân: trộn chung thịt, tôm, 1m hành tím băm, 1m hành ngò cắt nhỏ, củ sắn, nấm mèo, nêm 1/3m hạt nêm aji-ngon®, 1/2m nước tương “phú sĩ”, thêm 1/2m dầu mè, 1/3m tiêu sọ giã bể, trộn đều. thêm vào 1m bột nếp, 1m lòng trắng trứng, quết cho dai, rồi chia nhân thành 8 phần, vo tròn, ấn hơi dẹp, làm chín trong lò vi sóng.","bí đỏ cắt miếng dày khoảng 1cm, cho vào tô, thêm 1/3m hạt nêm aji-ngon®, 1m nước, bọc màng thực phẩm lại, cho vào lò vi sóng nấu 5 phút, đến khi chín. lấy ra, dùng nĩa tán nhuyễn khi bí còn nóng. thêm từ từ bột nếp và 1m dầu ăn vào, nhồi cho hỗn hợp ráo và mịn.","trình bày: thêm cuống và lá cho bí bằng đinh hương, rau thơm. ăn kèm nước chấm pha.",làm chín bí bằng lò vi sóng thuận tiện và nhanh chóng hơn là hấp bí.đặt bánh có khoảng cách để sau khi hấp bánh sẽ không bị dính vào nhau.,nan,bánh bí đỏ tôm thịt
Cá bớp chiên giòn xốt mận,"Cá bớp phi lê: 400g, Xốt mận: 3M, Hành tỏi: 3M, Nước cốt chanh: 1M, RAU NÊM: ớt cắt sợi, hành chẻ, gừng sợi, đọt húng lìu, Gia vị:  Đường, nước mắm, ớt bột vẩy, dầu ăn, Hạt nêm Aji-ngon® Heo, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, Cá bớp phi lê: 400g, Xốt mận: 3M, Hành tỏi: 3M, Nước cốt chanh: 1M, RAU NÊM: ớt cắt sợi, hành chẻ, gừng sợi, đọt húng lìu, Gia vị:  Đường, nước mắm, ớt bột vẩy, dầu ăn, Hạt nêm Aji-ngon® Heo, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn",,,,"Chiên gừng và húng lùi trước cho dầu thơm rồi chiên cá.Tán đều sauce mận trước với nước giúp món xốt mịn, giữ được mùi thơm ngon vì ko nấu lâu.",,,Cá bớp chiên giòn xốt mận,6.25,150.0,15.0,3.75,0.5,2.5,0.0,0.375,12.5,0.375,25.0,100.0,5.0,1.25,150.0,200.0,cá bớp chiên giòn xốt mận,"cá bớp phi lê: 400g, xốt mận: 3m, hành tỏi: 3m, nước cốt chanh: 1m, rau nêm: ớt cắt sợi, hành chẻ, gừng sợi, đọt húng lìu, gia vị:  đường, nước mắm, ớt bột vẩy, dầu ăn, hạt nêm aji-ngon® heo, gia vị nêm sẵn aji-quick® bột tẩm khô chiên giòn, cá bớp phi lê: 400g, xốt mận: 3m, hành tỏi: 3m, nước cốt chanh: 1m, rau nêm: ớt cắt sợi, hành chẻ, gừng sợi, đọt húng lìu, gia vị:  đường, nước mắm, ớt bột vẩy, dầu ăn, hạt nêm aji-ngon® heo, gia vị nêm sẵn aji-quick® bột tẩm khô chiên giòn",nan,nan,nan,"chiên gừng và húng lùi trước cho dầu thơm rồi chiên cá.tán đều sauce mận trước với nước giúp món xốt mịn, giữ được mùi thơm ngon vì ko nấu lâu.",nan,cá bớp chiên giòn xốt mận
Chả mực bắp áp chảo,"Mực lá xay nhuyễn          150g, Cá thác lát nạo   150g, Bắp Mỹ bào mỏng                      100g, Hành lá    4 cây, Mè rang giã bể                           2M, Ớt sừng                        1 trái, Tương ớt                                    2M, Tiêu giã bể, dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Hạt nêm Aji-ngon® Heo, Mực lá xay nhuyễn          150g, Cá thác lát nạo   150g, Bắp Mỹ bào mỏng                      100g, Hành lá    4 cây, Mè rang giã bể                           2M, Ớt sừng                        1 trái, Tương ớt                                    2M, Tiêu giã bể, dầu ăn, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Hạt nêm Aji-ngon® Heo",Bắp Mỹ bào mỏng. Hành lá cắt nhỏ. Ớt sừng cắt hạt lựu.,,"Cho món ăn ra dĩa ăn kèm với xốt chấm, dưa leo và cà chua.",Áp chảo với ít dầu để chả thơm mà không bị ngấm dầu.Thêm xốt Mayonnaise Aji-Mayo® để chả béo thơm không bị khô.,,,Chả mực bắp áp chảo,6.25,112.5,10.0,1.25,0.75,1.25,0.0,0.25,12.5,0.5,37.5,75.0,5.0,2.0,100.0,175.0,chả mực bắp áp chảo,"mực lá xay nhuyễn          150g, cá thác lát nạo   150g, bắp mỹ bào mỏng                      100g, hành lá    4 cây, mè rang giã bể                           2m, ớt sừng                        1 trái, tương ớt                                    2m, tiêu giã bể, dầu ăn, xốt mayonnaise aji-mayo® vị nguyên bản, hạt nêm aji-ngon® heo, mực lá xay nhuyễn          150g, cá thác lát nạo   150g, bắp mỹ bào mỏng                      100g, hành lá    4 cây, mè rang giã bể                           2m, ớt sừng                        1 trái, tương ớt                                    2m, tiêu giã bể, dầu ăn, xốt mayonnaise aji-mayo® vị nguyên bản, hạt nêm aji-ngon® heo",bắp mỹ bào mỏng. hành lá cắt nhỏ. ớt sừng cắt hạt lựu.,nan,"cho món ăn ra dĩa ăn kèm với xốt chấm, dưa leo và cà chua.",áp chảo với ít dầu để chả thơm mà không bị ngấm dầu.thêm xốt mayonnaise aji-mayo® để chả béo thơm không bị khô.,nan,chả mực bắp áp chảo
Burger cua lột,"Cua lột 4 con	500g, Hành tây 	1/2 củ, Bắp cải tím 	50g, Bắp cải trắng 	50g, Cà chua 	1 trái, Xà lách	4 lá, Trứng gà	4 quả, Bánh mỳ burger đen	4 cái, Khoai lang	200g, RAU NÊM: lá quế, ĂN KÈM: khoai lang chiên, Gia vị: dầu ăn, tiêu, mù tạt vàng, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Bột ngọt AJI-NO-MOTO®, Gia vị nêm sẵn Aji-Quick® Bột chiên giòn, Cua lột 4 con	500g, Hành tây 	1/2 củ, Bắp cải tím 	50g, Bắp cải trắng 	50g, Cà chua 	1 trái, Xà lách	4 lá, Trứng gà	4 quả, Bánh mỳ burger đen	4 cái, Khoai lang	200g, RAU NÊM: lá quế, ĂN KÈM: khoai lang chiên, Gia vị: dầu ăn, tiêu, mù tạt vàng, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Bột ngọt AJI-NO-MOTO®, Gia vị nêm sẵn Aji-Quick® Bột chiên giòn",,,Món ăn ngon đi kèm:Trà sữa thạch kem hạt chia,Dùng kèm với khoai lang chiên giúp tạo hương vị mới lạ cho món ăn.Cho lá quế để tạo hương vị đặc trưng cho món ăn.Áo bột mỏng và rủ bớt bột trước khi bỏ vào chiên để cua giòn đều.,,,Burger cua lột,21.25,300.0,18.75,3.75,2.5,7.5,0.5,0.375,50.0,1.25,150.0,125.0,12.5,3.75,150.0,250.0,burger cua lột,"cua lột 4 con	500g, hành tây 	1/2 củ, bắp cải tím 	50g, bắp cải trắng 	50g, cà chua 	1 trái, xà lách	4 lá, trứng gà	4 quả, bánh mỳ burger đen	4 cái, khoai lang	200g, rau nêm: lá quế, ăn kèm: khoai lang chiên, gia vị: dầu ăn, tiêu, mù tạt vàng, xốt mayonnaise aji-mayo® vị nguyên bản, bột ngọt aji-no-moto®, gia vị nêm sẵn aji-quick® bột chiên giòn, cua lột 4 con	500g, hành tây 	1/2 củ, bắp cải tím 	50g, bắp cải trắng 	50g, cà chua 	1 trái, xà lách	4 lá, trứng gà	4 quả, bánh mỳ burger đen	4 cái, khoai lang	200g, rau nêm: lá quế, ăn kèm: khoai lang chiên, gia vị: dầu ăn, tiêu, mù tạt vàng, xốt mayonnaise aji-mayo® vị nguyên bản, bột ngọt aji-no-moto®, gia vị nêm sẵn aji-quick® bột chiên giòn",nan,nan,món ăn ngon đi kèm:trà sữa thạch kem hạt chia,dùng kèm với khoai lang chiên giúp tạo hương vị mới lạ cho món ăn.cho lá quế để tạo hương vị đặc trưng cho món ăn.áo bột mỏng và rủ bớt bột trước khi bỏ vào chiên để cua giòn đều.,nan,burger cua lột
Gà nướng chảo,"Thịt gà má đùi 4 cái, Hạt ngò tươi 1m, Tỏi 4 tép, Hành tím 2 củ, Ớt hiểm 4 trái, Vỏ chanh vàng mài nhỏ 2m, Nước cốt chanh vàng 2M, Mật ong, nước mắm, dầu ăn, Ngò rí, hành tím, tỏi, tiêu, Ăn kèm: xà lách, cà chua, muối ớt chanh, Bột ngọt AJI-NO-MOTO®, Thịt gà má đùi 4 cái, Hạt ngò tươi 1m, Tỏi 4 tép, Hành tím 2 củ, Ớt hiểm 4 trái, Vỏ chanh vàng mài nhỏ 2m, Nước cốt chanh vàng 2M, Mật ong, nước mắm, dầu ăn, Ngò rí, hành tím, tỏi, tiêu, Ăn kèm: xà lách, cà chua, muối ớt chanh, Bột ngọt AJI-NO-MOTO®",,"Đặt chảo lên bếp cho nóng, phết 1 lớp dầu, gắp miếng thịt gà đặt phần da áp lên mặt chảo nướng chín thơm, sau đó trở miếng thịt nướng chín mặt còn lại.",Dùng nóng với cơm.,"Dùng dao cắt bớt phần thịt dày cho thịt có độ dày tương tự nhau để khi nướng thịt chín đều.Áp chảo phần da trước để da gà săn.Hạt ngò tươi có thể mua ở những quầy bán lá xông.Nên dùng chảo có sọc thì món nướng bằng chảo ngon hơn, hấp dẫn hơn.",,,Gà nướng chảo,3.75,212.5,20.0,2.5,0.75,6.25,0.125,0.2,12.5,0.75,75.0,150.0,7.5,2.0,175.0,200.0,gà nướng chảo,"thịt gà má đùi 4 cái, hạt ngò tươi 1m, tỏi 4 tép, hành tím 2 củ, ớt hiểm 4 trái, vỏ chanh vàng mài nhỏ 2m, nước cốt chanh vàng 2m, mật ong, nước mắm, dầu ăn, ngò rí, hành tím, tỏi, tiêu, ăn kèm: xà lách, cà chua, muối ớt chanh, bột ngọt aji-no-moto®, thịt gà má đùi 4 cái, hạt ngò tươi 1m, tỏi 4 tép, hành tím 2 củ, ớt hiểm 4 trái, vỏ chanh vàng mài nhỏ 2m, nước cốt chanh vàng 2m, mật ong, nước mắm, dầu ăn, ngò rí, hành tím, tỏi, tiêu, ăn kèm: xà lách, cà chua, muối ớt chanh, bột ngọt aji-no-moto®",nan,"đặt chảo lên bếp cho nóng, phết 1 lớp dầu, gắp miếng thịt gà đặt phần da áp lên mặt chảo nướng chín thơm, sau đó trở miếng thịt nướng chín mặt còn lại.",dùng nóng với cơm.,"dùng dao cắt bớt phần thịt dày cho thịt có độ dày tương tự nhau để khi nướng thịt chín đều.áp chảo phần da trước để da gà săn.hạt ngò tươi có thể mua ở những quầy bán lá xông.nên dùng chảo có sọc thì món nướng bằng chảo ngon hơn, hấp dẫn hơn.",nan,gà nướng chảo
Lươn kho sả ớt,"Lươn: 300g, Nước dừa tươi: 1 chén, Ớt hiểm, ớt bột, sả băm, Đường, tiêu, nước màu, Nước mắm, dầu điều, dầu ăn, Hạt nêm Aji-ngon® Heo, Lươn: 300g, Nước dừa tươi: 1 chén, Ớt hiểm, ớt bột, sả băm, Đường, tiêu, nước màu, Nước mắm, dầu điều, dầu ăn, Hạt nêm Aji-ngon® Heo",,,,"Dùng tro bếp hoặc giấm để sơ chế sạch nhớt lươn.Phi thơm sả, ớt rồi xóc đều với lươn sẽ giúp lươn thơm và săn thịt hơn.",,,Lươn kho sả ớt,1.625,145.0,12.5,1.25,0.0,0.5,3.0,0.75,37.5,1.0,35.0,100.0,3.75,2.0,150.0,112.5,lươn kho sả ớt,"lươn: 300g, nước dừa tươi: 1 chén, ớt hiểm, ớt bột, sả băm, đường, tiêu, nước màu, nước mắm, dầu điều, dầu ăn, hạt nêm aji-ngon® heo, lươn: 300g, nước dừa tươi: 1 chén, ớt hiểm, ớt bột, sả băm, đường, tiêu, nước màu, nước mắm, dầu điều, dầu ăn, hạt nêm aji-ngon® heo",nan,nan,nan,"dùng tro bếp hoặc giấm để sơ chế sạch nhớt lươn.phi thơm sả, ớt rồi xóc đều với lươn sẽ giúp lươn thơm và săn thịt hơn.",nan,lươn kho sả ớt
Lươn kho sả ớt,"Lươn: 300g, Nước dừa tươi: 1 chén, Ớt hiểm, ớt bột, sả băm, Đường, tiêu, nước màu, Nước mắm, dầu điều, dầu ăn, Hạt nêm Aji-ngon® Heo, Lươn: 300g, Nước dừa tươi: 1 chén, Ớt hiểm, ớt bột, sả băm, Đường, tiêu, nước màu, Nước mắm, dầu điều, dầu ăn, Hạt nêm Aji-ngon® Heo",,,,"Dùng tro bếp hoặc giấm để sơ chế sạch nhớt lươn.Phi thơm sả, ớt rồi xóc đều với lươn sẽ giúp lươn thơm và săn thịt hơn.",,,Lươn kho sả ớt,,,,,,,,,,,,,,,,,lươn kho sả ớt,"lươn: 300g, nước dừa tươi: 1 chén, ớt hiểm, ớt bột, sả băm, đường, tiêu, nước màu, nước mắm, dầu điều, dầu ăn, hạt nêm aji-ngon® heo, lươn: 300g, nước dừa tươi: 1 chén, ớt hiểm, ớt bột, sả băm, đường, tiêu, nước màu, nước mắm, dầu điều, dầu ăn, hạt nêm aji-ngon® heo",nan,nan,nan,"dùng tro bếp hoặc giấm để sơ chế sạch nhớt lươn.phi thơm sả, ớt rồi xóc đều với lươn sẽ giúp lươn thơm và săn thịt hơn.",nan,lươn kho sả ớt
Canh cá chép rau cần,"Cá chép      1 con khoảng 400g, Cà chua bi    100g, Rau cần nước    200g, Hành lá     2 cây, Hành tỏi băm    2M, Ớt sừng cắt lát    1M, Tỏi phi    2M, ĂN KÈM: Cơm trắng, Đường, dầu ăn, nước mắm, Giấm gạo lên men ""Ajinomoto"", Bột canh, Cá chép      1 con khoảng 400g, Cà chua bi    100g, Rau cần nước    200g, Hành lá     2 cây, Hành tỏi băm    2M, Ớt sừng cắt lát    1M, Tỏi phi    2M, ĂN KÈM: Cơm trắng, Đường, dầu ăn, nước mắm, Giấm gạo lên men ""Ajinomoto"", Bột canh",,,"Múc canh cá chép rau cần ra tô, dùng nóng với cơm.","Lăn cá với dầu phi hành tỏi để cá thơm hơn.Lựa cá chép đen còn tươi sống, thịt dày.",,,Canh cá chép rau cần,6.25,112.5,12.5,2.0,1.0,6.25,0.0,0.5,37.5,0.75,37.5,100.0,7.5,1.0,150.0,150.0,canh cá chép rau cần,"cá chép      1 con khoảng 400g, cà chua bi    100g, rau cần nước    200g, hành lá     2 cây, hành tỏi băm    2m, ớt sừng cắt lát    1m, tỏi phi    2m, ăn kèm: cơm trắng, đường, dầu ăn, nước mắm, giấm gạo lên men ""ajinomoto"", bột canh, cá chép      1 con khoảng 400g, cà chua bi    100g, rau cần nước    200g, hành lá     2 cây, hành tỏi băm    2m, ớt sừng cắt lát    1m, tỏi phi    2m, ăn kèm: cơm trắng, đường, dầu ăn, nước mắm, giấm gạo lên men ""ajinomoto"", bột canh",nan,nan,"múc canh cá chép rau cần ra tô, dùng nóng với cơm.","lăn cá với dầu phi hành tỏi để cá thơm hơn.lựa cá chép đen còn tươi sống, thịt dày.",nan,canh cá chép rau cần
Cá chép nấu riềng mẻ,"Cá chép nguyên con: 1 kg, Cà chua: 2 trái, Riềng cắt sợi: 2M, Nghệ giã nhuyễn: 2M, Hành tím: 2 củ, Ớt hiểm: 1 trái, Cơm mẻ: 2M, Nước dùng gà: 1 lít, Su hào: 1 củ, Cần nước: 150g, RAU NÊM: hành thì là cắt khúc, ớt sừng thái chỉ, ĂN KÈM: bún, Gia vị: muối, nước mắm, dầu ăn, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Cá chép nguyên con: 1 kg, Cà chua: 2 trái, Riềng cắt sợi: 2M, Nghệ giã nhuyễn: 2M, Hành tím: 2 củ, Ớt hiểm: 1 trái, Cơm mẻ: 2M, Nước dùng gà: 1 lít, Su hào: 1 củ, Cần nước: 150g, RAU NÊM: hành thì là cắt khúc, ớt sừng thái chỉ, ĂN KÈM: bún, Gia vị: muối, nước mắm, dầu ăn, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®",,"Nấu: đun nóng 2M dầu ăn, cho hành tím, nghệ và riềng vào xào thơm, sau đó cho cà chua và đổ nước dùng vào đun sôi, nêm 1m Bột ngọt AJI-NO-MOTO®, 1M Hạt nêm Aji-ngon® (Heo), 1m muối, 1,5M nước mắm, cơm mẻ. Cho cá và su hào vào nấu chín, cuối cùng cho cần nước và các loại rau ăn kèm vào, nấu sôi lại rồi tắt lửa.","Múc cá nấu riềng mẻ ra tô, ăn kèm với bún.","Xào kỹ riềng và nghệ giúp tăng màu sắc và mùi thơm cho món ăn.Chọn mẻ có màu trắng ngà, vị chua vừa sẽ ngon hơn.",,,Cá chép nấu riềng mẻ,7.5,162.5,16.25,2.5,1.25,7.5,0.0,0.5,37.5,1.25,50.0,125.0,7.5,1.25,200.0,300.0,cá chép nấu riềng mẻ,"cá chép nguyên con: 1 kg, cà chua: 2 trái, riềng cắt sợi: 2m, nghệ giã nhuyễn: 2m, hành tím: 2 củ, ớt hiểm: 1 trái, cơm mẻ: 2m, nước dùng gà: 1 lít, su hào: 1 củ, cần nước: 150g, rau nêm: hành thì là cắt khúc, ớt sừng thái chỉ, ăn kèm: bún, gia vị: muối, nước mắm, dầu ăn, hạt nêm aji-ngon® heo, bột ngọt aji-no-moto®, cá chép nguyên con: 1 kg, cà chua: 2 trái, riềng cắt sợi: 2m, nghệ giã nhuyễn: 2m, hành tím: 2 củ, ớt hiểm: 1 trái, cơm mẻ: 2m, nước dùng gà: 1 lít, su hào: 1 củ, cần nước: 150g, rau nêm: hành thì là cắt khúc, ớt sừng thái chỉ, ăn kèm: bún, gia vị: muối, nước mắm, dầu ăn, hạt nêm aji-ngon® heo, bột ngọt aji-no-moto®",nan,"nấu: đun nóng 2m dầu ăn, cho hành tím, nghệ và riềng vào xào thơm, sau đó cho cà chua và đổ nước dùng vào đun sôi, nêm 1m bột ngọt aji-no-moto®, 1m hạt nêm aji-ngon® (heo), 1m muối, 1,5m nước mắm, cơm mẻ. cho cá và su hào vào nấu chín, cuối cùng cho cần nước và các loại rau ăn kèm vào, nấu sôi lại rồi tắt lửa.","múc cá nấu riềng mẻ ra tô, ăn kèm với bún.","xào kỹ riềng và nghệ giúp tăng màu sắc và mùi thơm cho món ăn.chọn mẻ có màu trắng ngà, vị chua vừa sẽ ngon hơn.",nan,cá chép nấu riềng mẻ
Tôm chiên rong biển,"Tôm sú lột vỏ   200g, Giò sống    50g, Trứng gà    1 quả, Cốm dẹp  1M, Củ sen băm   2M, Cần tây băm  1M, Ớt sừng cắt nhỏ 1M, Bắp hạt bào mỏng 1M, Lá rong biển  2 lá, Cọng ngò rí băm 1m, Tiêu sọ rang giã bể, tương ớt, dầu ăn, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Tôm sú lột vỏ   200g, Giò sống    50g, Trứng gà    1 quả, Cốm dẹp  1M, Củ sen băm   2M, Cần tây băm  1M, Ớt sừng cắt nhỏ 1M, Bắp hạt bào mỏng 1M, Lá rong biển  2 lá, Cọng ngò rí băm 1m, Tiêu sọ rang giã bể, tương ớt, dầu ăn, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,,Chỉ nên cắt lá rong biển ngay trước khi quấn tôm để tránh bị dính bết lại.Quấn cọng rong biển hơi lỏng tay để khi chiên chả tôm còn nở ra là vừa.,,,Tôm chiên rong biển,8.75,112.5,10.0,1.25,0.75,1.25,0.125,0.375,20.0,0.625,50.0,75.0,7.5,2.0,100.0,150.0,tôm chiên rong biển,"tôm sú lột vỏ   200g, giò sống    50g, trứng gà    1 quả, cốm dẹp  1m, củ sen băm   2m, cần tây băm  1m, ớt sừng cắt nhỏ 1m, bắp hạt bào mỏng 1m, lá rong biển  2 lá, cọng ngò rí băm 1m, tiêu sọ rang giã bể, tương ớt, dầu ăn, gia vị nêm sẵn aji-quick® bột tẩm khô chiên giòn, hạt nêm aji-ngon® heo, xốt mayonnaise aji-mayo® vị nguyên bản, tôm sú lột vỏ   200g, giò sống    50g, trứng gà    1 quả, cốm dẹp  1m, củ sen băm   2m, cần tây băm  1m, ớt sừng cắt nhỏ 1m, bắp hạt bào mỏng 1m, lá rong biển  2 lá, cọng ngò rí băm 1m, tiêu sọ rang giã bể, tương ớt, dầu ăn, gia vị nêm sẵn aji-quick® bột tẩm khô chiên giòn, hạt nêm aji-ngon® heo, xốt mayonnaise aji-mayo® vị nguyên bản",nan,nan,nan,chỉ nên cắt lá rong biển ngay trước khi quấn tôm để tránh bị dính bết lại.quấn cọng rong biển hơi lỏng tay để khi chiên chả tôm còn nở ra là vừa.,nan,tôm chiên rong biển
