Tiêu đề,Nguyên liệu,Sơ chế,Thực hiện,Cách dùng,Mách nhỏ,Thực đơn,Lời khuyên
Tôm rim thịt ba chỉ,"Tôm đất: 250g, Thịt ba chỉ: 100g, Hành lá, hành tím bằm, tỏi bằm, Nước mắm, dầu ăn, dầu điều, Đường, muối, tiêu, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Tôm đất: 250g, Thịt ba chỉ: 100g, Hành lá, hành tím bằm, tỏi bằm, Nước mắm, dầu ăn, dầu điều, Đường, muối, tiêu, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo",,,,"Khi rim tôm, lúc đầu để lửa to để giúp tôm săn nhanh, giữ được nước ngọt bên trong tôm, đồng thời tôm sẽ chuyển màu đỏ tươi.Nước mắm cho vào khi tôm đã săn thì mùi tôm rim mới thơm, nếu cho sớm tôm sẽ có mùi khai.",,
Ba rọi nướng riềng,"Ba rọi nguyên miếng    300g, Hành tây      1 củ, Riềng cắt sợi      1 củ nhỏ, Hành tím băm      1M, Tỏi băm      1M, Sữa đặc có đường     1M, Mắm tôm      1/2 chén nhỏ (4M), Riềng, tỏi, ớt hiểm, lá mơ, sả, rau om, ngò gai, quả tắc, Dầu ăn, rượu trắng, nước mắm, đường, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Ba rọi nguyên miếng    300g, Hành tây      1 củ, Riềng cắt sợi      1 củ nhỏ, Hành tím băm      1M, Tỏi băm      1M, Sữa đặc có đường     1M, Mắm tôm      1/2 chén nhỏ (4M), Riềng, tỏi, ớt hiểm, lá mơ, sả, rau om, ngò gai, quả tắc, Dầu ăn, rượu trắng, nước mắm, đường, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo",,,Bày ba rọi nướng riềng ra mẹt tre lót lá chuối cùng với rau ăn kèm. Khi ăn cuốn ba rọi nướng với rau và chấm kèm mắm tôm pha.,"Giữ thịt ba chỉ trong tủ đông để thịt cứng, dễ cắt lát và lát thịt đều hơn.Cuộn thịt với riềng và hành tây bên trong khi nướng thịt chín đều và thơm.",,
Mì Quảng xào chay,"Mì Quảng: 300g, Đậu hũ chiên cắt sợi: 150g, Nấm kim châm: 200g, Cần tàu: 50g, Ớt sừng cắt sợi: 1 trái, Ớt hiểm: 1 trái, Cà rốt cắt sợi: 50g, Hành boaro băm: 1 cây, Rau húng lủi, Dầu ăn, dầu màu điều, nước me, Đường, tiêu, muối, bột năng, đậu phộng rang, Nước tương ""Phú Sĩ"", Bột ngọt AJI-NO-MOTO®, Mì Quảng: 300g, Đậu hũ chiên cắt sợi: 150g, Nấm kim châm: 200g, Cần tàu: 50g, Ớt sừng cắt sợi: 1 trái, Ớt hiểm: 1 trái, Cà rốt cắt sợi: 50g, Hành boaro băm: 1 cây, Rau húng lủi, Dầu ăn, dầu màu điều, nước me, Đường, tiêu, muối, bột năng, đậu phộng rang, Nước tương ""Phú Sĩ"", Bột ngọt AJI-NO-MOTO®",,,,"Trộn nước tương vào mì Quảng giúp mì thấm gia vị, thơm ngon và màu hấp dẫn hơn.Trộn hỗn hợp gia vị trước để mau hòa tan, khi xào dễ thấm vào nguyên liệu.",,
Cơm chiên trái thơm,"Cơm trắng: 2 chén, Thơm còn nguyên phần đầu: 1 trái, Tôm tươi: 100g, Tôm khô, hành tây, hành lá, ớt, Xà lách, cà chua, dưa leo, Đường, muối, tiêu, dầu ăn, Hành tím băm, tỏi băm, bột năng, Nước tương LISA, Hạt nêm Aji-ngon® Heo, Cơm trắng: 2 chén, Thơm còn nguyên phần đầu: 1 trái, Tôm tươi: 100g, Tôm khô, hành tây, hành lá, ớt, Xà lách, cà chua, dưa leo, Đường, muối, tiêu, dầu ăn, Hành tím băm, tỏi băm, bột năng, Nước tương LISA, Hạt nêm Aji-ngon® Heo",,,,"Cách chọn tôm khô: màu đỏ tự nhiên, thịt trong, đều con, vị nhạt muối, ngọt thịt.Rửa tôm khô bằng nước ấm, để ráo, rang sơ với hành tím băm để khử mùi khai trong tôm khô.Khi nấu cơm để chiên, cho 1 ít dầu hoặc nấu cơm bằng nước dùng thì cơm chiên sẽ bóng, rời hạt và thơm béo.",,
Ếch om tỏi,"Ếch nguyên con làm sạch, bỏ da:  600 g, Sả: 1 cây, Hành tím: 20g, Tỏi băm: 2M, Hành tây: 1/2 củ, Ớt xiêm xanh: 10 trái, Ớt sừng: 1 trái, Dầu màu điều: 1m, Nước dừa tươi: 1 chén, Tỏi tím/tỏi bắc: 60g, RAU NÊM: ngò rí, Gia vị: tiêu, đường, dầu ăn, dầu hào, tương ớt, bột năng, Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ"", Bột ngọt AJI-NO-MOTO®, Gia vị nêm sẵn Aji-Quick® Bột chiên giòn, Ếch nguyên con làm sạch, bỏ da:  600 g, Sả: 1 cây, Hành tím: 20g, Tỏi băm: 2M, Hành tây: 1/2 củ, Ớt xiêm xanh: 10 trái, Ớt sừng: 1 trái, Dầu màu điều: 1m, Nước dừa tươi: 1 chén, Tỏi tím/tỏi bắc: 60g, RAU NÊM: ngò rí, Gia vị: tiêu, đường, dầu ăn, dầu hào, tương ớt, bột năng, Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ"", Bột ngọt AJI-NO-MOTO®, Gia vị nêm sẵn Aji-Quick® Bột chiên giòn",,,Cho ếch vào thố đất trình bày thêm ớt sừng cắt lát và ngò. Món ăn ngon đi kèm:Canh gà lá me non,"Áo một lớp bột chiên giòn cho thịt ếch để khi chiên tránh bị bắn dầu, đồng thời giữ được vị ngọt của thịt ếch.Chiên qua thịt ếch để thịt săn, thơm hơn.Chọn tỏi bắc có vỏ màu tím thì sẽ thơm, ngon cho món ăn.",,
Lẩu cá kèo lá giang,"Cá kèo : 400g, Lá giang : 50g, Thơm  : 1/4 trái, Cà chua :  1 trái, Rau đắng : 200g, Rau muống bào : 200g, Rau nhút : 200g, Hành tỏi băm : 1M, Rau om, ngò gai, Bún tươi : 500g, Ớt hiểm, Nước mắm, dầu ăn, Gia vị nêm sẵn Aji-Quick® Lẩu Thái, Cá kèo : 400g, Lá giang : 50g, Thơm  : 1/4 trái, Cà chua :  1 trái, Rau đắng : 200g, Rau muống bào : 200g, Rau nhút : 200g, Hành tỏi băm : 1M, Rau om, ngò gai, Bún tươi : 500g, Ớt hiểm, Nước mắm, dầu ăn, Gia vị nêm sẵn Aji-Quick® Lẩu Thái",,,,Rửa cá kèo qua nước pha giấm hoặc chanh sau đó rửa lại bằng nước sạch cho hết nhớt trong cá.Vò lá giang để chất chua trong lá giang có thể ra hết.,,
Gỏi trộn khô mực,"Bưởi : 1 trái, Mực khô : 1 con (50g), Thịt ba chỉ : 100g, Tôm tươi : 100g, Cà rốt : 100g, Rau răm, hành tím, Mè trắng, ớt sừng, Bánh phồng tôm, Tỏi, ớt băm, Đường, muối, dầu ăn, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto"", Bưởi : 1 trái, Mực khô : 1 con (50g), Thịt ba chỉ : 100g, Tôm tươi : 100g, Cà rốt : 100g, Rau răm, hành tím, Mè trắng, ớt sừng, Bánh phồng tôm, Tỏi, ớt băm, Đường, muối, dầu ăn, Hạt nêm Aji-ngon® Heo, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men ""Ajinomoto""",,,,Chọn bưởi chưa chín hẳn sẽ có vị chua và giòn.Nên chiên khô mực xé nhỏ với lửa vừa để khô mực giòn mà không bị cháy và đắng.,,
Chả hấp chay,"Đậu hũ trắng 2 miếng., Nấm hương, nấm mèo, củ năng, cà rốt, bao rô, ớt, bún tàu, chao, bột năng, màu điều, dầu ăn, tiêu, đường, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ"", Đậu hũ trắng 2 miếng., Nấm hương, nấm mèo, củ năng, cà rốt, bao rô, ớt, bún tàu, chao, bột năng, màu điều, dầu ăn, tiêu, đường, Bột ngọt AJI-NO-MOTO®, Nước tương ""Phú Sĩ""",,,,Nên luộc sơ đậu hũ rồi vắt ráo trước khi quết để có dộ dẻo.,,
Trứng đúc nấm rơm,"Thịt nạc dăm xay: 50g, Bún tàu ngâm nở: 1 lọn nhỏ, Nấm rơm: 100g, Trứng vịt: 3 quả, Hành lá: 1 cọng, Hành tím băm, Tiêu, dầu ăn, Hạt nêm Aji-ngon® Heo, Thịt nạc dăm xay: 50g, Bún tàu ngâm nở: 1 lọn nhỏ, Nấm rơm: 100g, Trứng vịt: 3 quả, Hành lá: 1 cọng, Hành tím băm, Tiêu, dầu ăn, Hạt nêm Aji-ngon® Heo",,,"Cho ra dĩa, dùng kèm với nước mắm.",Cho thêm một ít nước vào thịt để tăng độ mềm mại và nguyên liệu được hòa quyện.,,
Bánh bao chiên,"Bột bánh bao: 500g, Sữa tươi: 240g, Thịt nạc vai xay: 100g, Giò sống: 100g, Củ sắn: 150g, Hành tây: 100g, Mỡ băm: 1M, Hành tím băm: 2M, Đầu hành lá băm: 1M, Nấm đông cô khô: 10g, Thịt xá xíu: 50g, Lạp xưởng: 1 cây, Trứng cút: 12 quả, Trứng muối: 3 quả, Hành lá, ngò rí, Đường, tiêu, bột năng, dầu mè, dầu ăn, Hạt nêm Aji-ngon® Heo, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, Bột ngọt AJI-NO-MOTO®, Bột bánh bao: 500g, Sữa tươi: 240g, Thịt nạc vai xay: 100g, Giò sống: 100g, Củ sắn: 150g, Hành tây: 100g, Mỡ băm: 1M, Hành tím băm: 2M, Đầu hành lá băm: 1M, Nấm đông cô khô: 10g, Thịt xá xíu: 50g, Lạp xưởng: 1 cây, Trứng cút: 12 quả, Trứng muối: 3 quả, Hành lá, ngò rí, Đường, tiêu, bột năng, dầu mè, dầu ăn, Hạt nêm Aji-ngon® Heo, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, Bột ngọt AJI-NO-MOTO®",,,,"Hấp bánh trước khi chiên để bánh chín đều và định hình tốt hơn.Có thể thay xá xíu, lạp xưởng bằng thịt gà quay, vịt quay.",,
Cơm chiên cá mặn,"Cơm trắng: 3 chén, Khô cá sửu: 50g, Xà lách: 1 búp, Trứng vịt: 2 cái, Hành lá cắt nhỏ: 2M (giữ lại đầu hành lá), Tỏi băm, gừng cắt lát: 2M, Bột mì: 2M, Dầu ăn, đường, bột mì, Ăn kèm: ớt cắt lát, dưa leo, cà chua., Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ"", Cơm trắng: 3 chén, Khô cá sửu: 50g, Xà lách: 1 búp, Trứng vịt: 2 cái, Hành lá cắt nhỏ: 2M (giữ lại đầu hành lá), Tỏi băm, gừng cắt lát: 2M, Bột mì: 2M, Dầu ăn, đường, bột mì, Ăn kèm: ớt cắt lát, dưa leo, cà chua., Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ""",,,,Rắc bột mì chiên cơm để cơm giòn xốp không bị chai cứng.Áp chảo và chiên trước cá mặn để cá được giòn và thơm hơn.,,
Gỏi lá cóc,"Sườn non chay khô             50g, Bắp cải                               100g, Bắp cải                               100g, Cà rốt                                  1/2 củ, Dưa leo                               1 quả, Dưa leo                               1 quả, Thơm chín băm                  1M, Húng lủi, ớt băm, Mè rang, boa rô phi, Muối, đường, nước mắm chay, dầu ăn, Lá cóc: 70g, Hoành thành tươi: 3 lá, Hạt nêm Aji-ngon® Nấm, Giấm gạo lên men ""Ajinomoto"", Sườn non chay khô             50g, Bắp cải                               100g, Bắp cải                               100g, Cà rốt                                  1/2 củ, Dưa leo                               1 quả, Dưa leo                               1 quả, Thơm chín băm                  1M, Húng lủi, ớt băm, Mè rang, boa rô phi, Muối, đường, nước mắm chay, dầu ăn, Lá cóc: 70g, Hoành thành tươi: 3 lá, Hạt nêm Aji-ngon® Nấm, Giấm gạo lên men ""Ajinomoto""",,,,Vắt khô sườn chay để khi chiên sườn non sẽ giòn hơn.Chọn lá cóc bánh tẻ để món ăn ngon hơn và không bị xơ.,,
Chả cá kho vân trứng,"Chả cá basa : 200g, Cà chua : 2 trái, Trứng gà  : 1 quả, Hành tím cắt lát, Hành lá, ngò rí, Muối, tiêu, đường, sa tế tôm, dầu ăn, dầu điều, Bột ngọt AJI-NO-MOTO®, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Hạt nêm Aji-ngon® Heo, Chả cá basa : 200g, Cà chua : 2 trái, Trứng gà  : 1 quả, Hành tím cắt lát, Hành lá, ngò rí, Muối, tiêu, đường, sa tế tôm, dầu ăn, dầu điều, Bột ngọt AJI-NO-MOTO®, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Hạt nêm Aji-ngon® Heo",,,,"Cho trứng vào từ từ, dùng đũa đánh đều tay để tạo vân cho đẹp.Chả cá sau khi chiên cho vào ngăn mát tủ lạnh rồi cắt miếng, cá chiên cắt sẽ được đẹp hơn.",,
Chả lá xương sông,"Thịt heo nạc vai xay: 500g, Lá xương sông: 30 lá, Nấm hương băm: 5 tai, Hành lá thái nhỏ: 4 M, Đầu hành lá băm: 2M, Ớt sừng băm: 1M, Gừng băm: 1M, ĂN KÈM:	Dưa leo, rau thơm, Gia vị: Tiêu, nước mắm, tương ớt, dầu, Bột ngọt AJI-NO-MOTO®, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Hạt nêm Aji-ngon® Heo, Thịt heo nạc vai xay: 500g, Lá xương sông: 30 lá, Nấm hương băm: 5 tai, Hành lá thái nhỏ: 4 M, Đầu hành lá băm: 2M, Ớt sừng băm: 1M, Gừng băm: 1M, ĂN KÈM:	Dưa leo, rau thơm, Gia vị: Tiêu, nước mắm, tương ớt, dầu, Bột ngọt AJI-NO-MOTO®, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Hạt nêm Aji-ngon® Heo",,"Dùng muỗng cho nhân vào mặt láng của lá sau đó cuộn tròn lại và làm lần lượt cho hết nhân. Tiếp theo cho 5M dầu ăn vào chảo xếp chả vào và chiên với lửa vừa, chiên các mặt của chả sau đó cho ra giấy thấm dầu.","Xếp chả ra đĩa cùng với dưa leo và rau thơm chấm cùng với sốt cho 2M Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, 2M tương ớt trộn đều. Món ăn ngon đi kèm:Canh tôm rau cần nước",✅ Thái chỉ lá xương sông cho vào nhân giúp tăng mùi thơm cho món ăn.✅ Nhân cho thêm nấm hương băm tạo vị lạ miệng cho món ăn.✅ Chọn thịt heo nạc vai xay giúp món chả chiên không bị khô.,,
Lẩu khoai mỡ,"Khoai mỡ tím  200g, Giò sống chay  200g, Sườn non chay chiên sẵn  20g, Hạt sen luộc  50g, Nước dùng chay  2 lít, Rau đắng  300g, Boa rô băm  1M, Boa rô phi  1M, Ngò gai , ớt hiểm, Đường, tiêu, bột năng, dầu ăn, Nước mắm chay, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Nấm, Khoai mỡ tím  200g, Giò sống chay  200g, Sườn non chay chiên sẵn  20g, Hạt sen luộc  50g, Nước dùng chay  2 lít, Rau đắng  300g, Boa rô băm  1M, Boa rô phi  1M, Ngò gai , ớt hiểm, Đường, tiêu, bột năng, dầu ăn, Nước mắm chay, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Nấm",,,"Múc nước khoai mỡ ra nồi lẩu, khi ăn cho nấm linh chi, rau đắng, ngò gai, sườn non chay chiên vào, ăn kèm với bún tươi, nước mắm chay và ớt cắt lát.",Chiên viên giò sống để định hình và giúp viên giò sống thơm ngon hơn.,,
Cơm tấm sườn chay,"Cơm tấm gạo Tài Nguyên 4 chén, Sườn chay    4 miếng, Nước dừa tươi    1 trái, Sữa tươi    1/2 chén, Củ sắn cắt lát    120g, Đậu hũ  trắng   1 miếng, Miến     20g, Thính gạo rang    1M, Boa rô cắt nhỏ   1M, Sả cây đập dập   3 cây, Lá dứa, nước dừa, tỏi ớt băm, Củ kiệu chua, hẹ lá, đồ chua, boarô phi có dầu 2M, ĂN KÈM: cà chua, dưa leo, Gia vị: tiêu, ngũ vị hương, đường, dầu ăn, dầu điều, Hạt nêm Aji-ngon® Nấm, Nước tương ""Phú Sĩ"", Cơm tấm gạo Tài Nguyên 4 chén, Sườn chay    4 miếng, Nước dừa tươi    1 trái, Sữa tươi    1/2 chén, Củ sắn cắt lát    120g, Đậu hũ  trắng   1 miếng, Miến     20g, Thính gạo rang    1M, Boa rô cắt nhỏ   1M, Sả cây đập dập   3 cây, Lá dứa, nước dừa, tỏi ớt băm, Củ kiệu chua, hẹ lá, đồ chua, boarô phi có dầu 2M, ĂN KÈM: cà chua, dưa leo, Gia vị: tiêu, ngũ vị hương, đường, dầu ăn, dầu điều, Hạt nêm Aji-ngon® Nấm, Nước tương ""Phú Sĩ""",,,"Bày cơm tấm ra dĩa, cho sườn chay khìa, bì chay, rưới dầu hẹ lên trên, ăn cùng với đồ chua, cà chua, dưa leo. Khi ăn chan thêm nước tương pha.","Khìa sườn chay với sữa tươi giúp thơm và tăng vị béo.Thêm dầu phi boaro vào bì giúp tạo mùi thơm, các nguyên liệu bám gia vị và có độ bóng, hấp dẫn.",,
Mì vịt tiềm chay,"Hạt nêm Aji-ngon® Nấm, Nước tương ""Phú Sĩ"", Hạt nêm Aji-ngon® Nấm, Nước tương ""Phú Sĩ""",,"Đun sôi 2,5 lít nước dùng, cho túi gia vị vào, thêm củ sen, nấm đông cô, cà rốt vào nấu chín tới, nêm 1/2M muối, 2M đường, 1M Hạt nêm Aji-ngon® Nấm, 2M dầu hào, 3M nước tương “Phú Sĩ”, nếm vị vừa ăn. Vớt bỏ túi gia vị.","Cho mì đã luộc vào tô. Thêm đậu hũ, thịt vịt chay, cải thìa, 1 ít nước mắm, củ sen, cà rốt. Chan nước dùng chay lên tô mì, đảm bảo các nguyên liệu ngập trong nước dùng.","🧑‍🍳 Chọn lá tàu hũ ky tươi còn nguyên vẹn để dễ tạo hình🧑‍🍳 Chọn củ sen tươi tròn, suông, chắc, có màu vàng sáng là củ sen ngon","Thực đơn bổ máu
2100 kcal. G:P:L=52:18:30
BỮA ĂN | NĂNG LƯỢNG | MÓN ĂN | THÀNH PHẦN NGUYÊN LIỆU
Sáng | 600 | Bún Bò Bắp Cải Chua | 1 khẩu phần
Tráng miệng: Chuối | 1 trái
Phụ 1 | 250 | Bánh quy + phô mai | Mỗi người:1 cái bánh quy + 1 miếng phô mai tam giác
Trưa | 650 | Canh Gà Tứ Quý | 1/2 khẩu phần
Tép Ruộng Xào Khế – Bông Điên Điển | 1/2 khẩu phần
Sườn Non Kho Củ Sen | 1/2 khẩu phần
Cơm | 1.5 chén
Tráng miệng: Mít | 4 múi trung bình
Phụ 2 | 150 | Bánh bông lan | 1 cái
Tối | 450 | Mỳ vịt tiềm chay (400 kcal)
Trái cây: Dâu tây | 7 trái",
Tôm xào hạnh nhân chay,"Chả lụa chay : 100g, Tôm chay : 50g, Nấm rơm búp : 50g, Cà rốt : 50g, Bí ngòi vàng : 100g, Cần tây : 1 bẹ, Hạnh nhân cắt lát rang : 50g, Tàu hũ ky chiên giòn : 2 miếng, Boaro băm : 1M, Ớt sừng cắt sợi : 1 trái, Dầu ăn, dầu hàu chay, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Nấm, Chả lụa chay : 100g, Tôm chay : 50g, Nấm rơm búp : 50g, Cà rốt : 50g, Bí ngòi vàng : 100g, Cần tây : 1 bẹ, Hạnh nhân cắt lát rang : 50g, Tàu hũ ky chiên giòn : 2 miếng, Boaro băm : 1M, Ớt sừng cắt sợi : 1 trái, Dầu ăn, dầu hàu chay, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Nấm",,,,Cho chả lụa chay vào xào sau rau củ để chả không bị nát.Cho hạnh nhân vào sau cùng để hạnh nhân giữ được độ giòn.,,
Cá điêu hồng chiên xốt tắc,"Cá điêu hồng   1 con, Xà lách cuộn    100g, Bắp cải tím    20g, Cà rốt     1/2 củ, Dưa leo     1/2 quả, Tắc     2 quả, Ngò rí, ớt băm, quả tắc, Dầu ăn, nước mắm, đường, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn, Cá điêu hồng   1 con, Xà lách cuộn    100g, Bắp cải tím    20g, Cà rốt     1/2 củ, Dưa leo     1/2 quả, Tắc     2 quả, Ngò rí, ớt băm, quả tắc, Dầu ăn, nước mắm, đường, Gia vị nêm sẵn Aji-Quick® Bột tẩm khô chiên giòn",,,"Xếp cá điêu hồng chiên giòn ra dĩa, bày xà lách và các loại rau xung quanh, rưới xốt tắc lên rau, ăncá chiênkèm với salad trộn xốt tắc.","Chiên lát cá mỏng với Aji-Quick® Bột Tẩm Khô Chiên Giòn giúp cá vàng đẹp, giòn lâu và không bị khô.Sử dụng vỏ tắc để làm xốt giúp tạo hương vị đặc trưng cho món ăn.",,
Sandwich nướng hải sản,"Bánh mì sandwich: 4 lát, Tôm tươi: 100g, Mực ống nhỏ: 100g, Ớt chuông đỏ: 1 trái, Hành tây: 1/2 củ, Ớt chuông xanh: 1trái, Rau quế: 2 cây, Olive đen không hạt: 10 trái, Tương cà, rượu trắng, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Bánh mì sandwich: 4 lát, Tôm tươi: 100g, Mực ống nhỏ: 100g, Ớt chuông đỏ: 1 trái, Hành tây: 1/2 củ, Ớt chuông xanh: 1trái, Rau quế: 2 cây, Olive đen không hạt: 10 trái, Tương cà, rượu trắng, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,"Lấy sandwich nướng ra dĩa, dùng nóng.",Chần mực qua nước sôi để mực giòn và không ra nước khi nướng.Cho rượu trắng vào nước luộc tôm sẽ giúp khử mùi tanh của tôm.,,
Miến gà trộn,"Miến 80g, Thịt gà luộc 200g, Khô bò 50g, Bắp cải tím 50g, Bắp cải trái tim 50g, Dưa leo 50g, Cà rốt 50g, Mè rang 1M, RAU NÊM: Ngò rí, ĂN KÈM: Xà lách, Gia vị:  Nước, Gia vị nêm sẵn Aji-Quick® Lẩu Thái, Miến 80g, Thịt gà luộc 200g, Khô bò 50g, Bắp cải tím 50g, Bắp cải trái tim 50g, Dưa leo 50g, Cà rốt 50g, Mè rang 1M, RAU NÊM: Ngò rí, ĂN KÈM: Xà lách, Gia vị:  Nước, Gia vị nêm sẵn Aji-Quick® Lẩu Thái","Miến luộc chín, xả với nước lạnh, để ráo. Thịt gà xé sợi vừa ăn. Khô bò xé sợi nhỏ. Sơ chế: hàng Bắp cải, ngâm qua nước đá có pha 3Mgia vị nêm sẵn Aji-Quick® Lẩu Tháiđể rau được giòn lâu và thấm vị hơn.","Pha xốt trộn: nấu tan hỗn hợp gồm 1Mgia vị nêm sẵn Aji-Quick® Lẩu Thái, 2.5M đường, 6M nước, nấu sôi để nguội thêm 1M ngò cắt nhỏ.","Xếp tất cả các nguyên liệu ra dĩa, rắc thêm mè, ngò rí, rưới xốt lên trên, trộn đều và thưởng thức.",,,
Chả tôm chiên mặt nguyệt,"Bánh tráng gạo loại mỏng	1 gói, Tôm sú tươi (bóc vỏ)	    	150g, Tôm đông lạnh			50g, Trứng gà ta		 	1 quả, Giò sống		 	50g, Cà rốt cắt hạt lựu 		1M, Đậu cô ve cắt nhỏ	 	2M, Ớt sừng		 		1 trái, Bột xù				1M, Hành tỏi phi, đầu hành lá, ngò rí cắt nhỏ, ĂN KÈM: Tương cà, Gia vị: tiêu, đường, dầu ăn, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Bánh tráng gạo loại mỏng	1 gói, Tôm sú tươi (bóc vỏ)	    	150g, Tôm đông lạnh			50g, Trứng gà ta		 	1 quả, Giò sống		 	50g, Cà rốt cắt hạt lựu 		1M, Đậu cô ve cắt nhỏ	 	2M, Ớt sừng		 		1 trái, Bột xù				1M, Hành tỏi phi, đầu hành lá, ngò rí cắt nhỏ, ĂN KÈM: Tương cà, Gia vị: tiêu, đường, dầu ăn, Hạt nêm Aji-ngon® Heo, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản",,,Xếp chả tôm chiên mặt nguyệt ra dĩa và ăn kèm với xốt mayonnaise trộn tương cà.,Lau khô tôm trước khi quết để tôm dai.Cần gắn 2 miếng bánh tráng dính chặt vào miếng chả tôm để khi chiên không bị rớt khỏi nhân.Thêm rau củ hạt lựu vào chả để giúp bé ăn được nhiều rau hơn.,,
Gà nấu nước tương,"Đùi gà góc tư lóc bỏ xương             2 cái, Nấm hương ngâm mềm                   150g, Ớt hiểm khô trái đỏ                          5g, Hành lá                                             2 cọng, Thảo quả                                           2 trái, Hoa hồi                                             2 tai, Nước lọc                                           1 lít, Gừng đập dập                                   30g, Mè trắng rang, Rượu xuyên tiêu, nước màu, Muối, đường phèn, đường trắng, Dụng cụ: chỉ cotton, Hạt nêm Aji-ngon® Gà, Nước tương ""Phú Sĩ"", Đùi gà góc tư lóc bỏ xương             2 cái, Nấm hương ngâm mềm                   150g, Ớt hiểm khô trái đỏ                          5g, Hành lá                                             2 cọng, Thảo quả                                           2 trái, Hoa hồi                                             2 tai, Nước lọc                                           1 lít, Gừng đập dập                                   30g, Mè trắng rang, Rượu xuyên tiêu, nước màu, Muối, đường phèn, đường trắng, Dụng cụ: chỉ cotton, Hạt nêm Aji-ngon® Gà, Nước tương ""Phú Sĩ""",,,,Sử dụng hành và nấm hương để tạo mùi thơm và sự cân bằng cho món ăn.Nấu gà ở nhiệt độ thấp (85 độ C) để gà chín thấm vị mà vẫn giòn.,,
Ngọc mực rang tổ chim,"Ngọc mực làm sạch 300g, Mì Ý luộc chín loại cọng nhỏ 50g, Thơm cắt hạt lựu ½ chén, Ớt chuông xanh cắt hạt lựu ½ chén, Ớt chuông đỏ cắt hạt lựu ½ chén, Chà bông tôm 2M, Dầu ăn, ớt bột, Bột ngọt AJI-NO-MOTO®, Gia vị nêm sẵn Aji-Quick® Bột chiên giòn, Ngọc mực làm sạch 300g, Mì Ý luộc chín loại cọng nhỏ 50g, Thơm cắt hạt lựu ½ chén, Ớt chuông xanh cắt hạt lựu ½ chén, Ớt chuông đỏ cắt hạt lựu ½ chén, Chà bông tôm 2M, Dầu ăn, ớt bột, Bột ngọt AJI-NO-MOTO®, Gia vị nêm sẵn Aji-Quick® Bột chiên giòn",,,,Bỏ răng bên trong sẽ giúp ăn ngon miệng hơnChiên mì với lửa lớn và khi dầu thật nóng để mì giòn xốp và không bị chai cứng.,,
Bánh đồng xu phô mai,"Phô mai mozzarella	: 100gr, Bơ lạt: 25 gr, Nước: 140gr, Bột bánh rán pha sẵn vị truyền thống, Phô mai mozzarella	: 100gr, Bơ lạt: 25 gr, Nước: 140gr, Bột bánh rán pha sẵn vị truyền thống",,Rán bánh:,,"✅ Rán bánh với mức lửa nhỏ nhất để bánh chín và vàng đều.✅ Sử dụng chảo đáy dầy để tỏa nhiệt đều, bánh sẽ chín đều và ngon hơn.",,
